Test_case_Name,Mission_Time,YAMS_Unrel_Mean_value,YAMS_Unrel_Bounds,FigSeq_Estimated_Unreliability_no_truncation,FigSeq_Pessimistic_Unreliability_with_truncation,GSPN_Unrel,FigaroAPI_Unrel_Value,FigaroAPI_Unrel_Value,YAMS_Unavail_Bounds,FigSeq_Estimated_Unavail_no_truncation,FigSeq_Pessimistic_Unavail_with_truncation,GSPN_Unavail,FigaroAPI_Unavailability_Value,definitive_states,definitive_transitions
05-High-rates_No_trim_No_repair,10,6.27E-01,3.94E-04,6.27E-01,6.27E-01,,6.27E-01,,,,,,,4.60E+02,1.96E+03
07-High-rates_No_trim_No_repair,10,4.00E-01,3.99E-04,4.00E-01,4.00E-01,,4.00E-01,,,,,,,5.00E+00,6.00E+00
08-High-rates_No_trim_No_repair,10,9.97E-01,4.09E-05,9.97E-01,9.97E-01,,9.97E-01,,,,,,,8.80E+02,3.59E+03
09-High-rates_No_trim_No_repair,10,2.46E-01,3.51E-04,2.46E-01,2.46E-01,,2.46E-01,,,,,,,2.10E+01,4.00E+01
10-High-rates_No_trim_No_repair,10,9.00E-01,2.44E-04,9.00E-01,9.00E-01,,9.00E-01,,,,,,,2.00E+01,3.80E+01
13-High-rates_No_trim_No_repair,10,5.16E-01,4.07E-04,5.16E-01,5.16E-01,,5.16E-01,,,,,,,1.70E+01,2.40E+01
15-High-rates_No_trim_No_repair,10,4.02E-01,3.99E-04,4.02E-01,4.02E-01,,4.02E-01,,,,,,,2.08E+02,6.50E+02
16-High-rates_No_trim_No_repair,10,6.45E-01,3.90E-04,6.45E-01,6.45E-01,,6.45E-01,,,,,,,6.10E+01,1.29E+02
17-High-rates_No_trim_No_repair,10,8.56E-01,2.86E-04,8.56E-01,8.56E-01,,8.56E-01,,,,,,,1.17E+04,5.30E+04
18-High-rates_No_trim_No_repair,10,3.65E-01,3.92E-04,3.65E-01,3.65E-01,,3.65E-01,,,,,,,6.50E+01,1.28E+02
19-High-rates_No_trim_No_repair,10,2.90E-01,3.69E-04,2.90E-01,2.90E-01,,2.90E-01,,,,,,,1.66E+02,3.25E+02
21-High-rates_No_trim_No_repair,10,3.05E-02,1.40E-04,3.05E-02,3.05E-02,,3.05E-02,,,,,,,1.30E+01,2.20E+01
FigaroProgram_sf3_2_trim_no_repair,1,1.99E-02,1.14E-04,1.99E-02,1.99E-02,,1.99E-02,,,,,,,,
FigaroProgram_sf3_2_trim_repair,1,8.65E-01,2.78E-04,8.67E-01,8.67E-01,8.65E-01,8.65E-01,,,,,,,,
figaro_BDMP,100,,,0.01787658275,,,0.01787733191,,,,,,,,
figaro_Miniplant,100,0.0020317,,,,,0.00201696,,,,,,,,
Diagraph,,,,,,,,,,,,,,,
figaro_Petrinet,100,0.708387,,,,,0.7090497745,,,,,,,,
figaro_RBD,100,0.0107001,8.30E-05,,,,0.0107025,,,,,,,,
figaro_Telecom,,,,,,,0.002014698,,,,,,,,
